零件,数量,特征,工序,可加工机器及加工时间,,,,,,,,,,,,,,,,,,,
,,,,C1,C2,C3,C4,L1,PM1,NYM1,WYM1,RCL1,RCL2,WX1,LX1,LX2,LX3,Z1,Z2,DHH1,XQG1,JC1,QG1
导向套,4,左端面,1,10,10,10,10,,,,,,,,,,,,,,,,
,,42圆柱面,2,10,10,10,10,,,,,,,,,,,,,,,,
,,Ra1.6环面,3,10,10,10,10,,,,,,,,,,,,,,,,
,,60圆柱面,4,40,40,40,40,,,,,,,,,,,,,,,,
,,48圆柱面,5,19,19,19,19,,,,,,,,,,,,,,,,
,,右端面,6,10,10,10,10,,,,,,,,,,,,,,,,
,,31孔,7,21,21,21,21,,,,,,,,48,48,48,,,,,,
,,38孔,8,60,60,60,60,,,,,,,,540,540,450,,,,,,
,,长方轮廓,9,,,,,112,,,,,,,,,,,,,,,
,,4棱,10,,,,,45,,,,,,,,,,,,,,,
导向头,4,右端面,1,8,8,8,8,,,,,,,,,,,,,,,,
,,65圆柱面,2,16,16,16,16,,,,,,,,,,,,,,,,
,,35圆柱面,3,44,44,44,44,,,,,,,,,,,,,,,,
,,Ra3.2右环面,4,5,5,5,5,,,,,,,,,,,,,,,,
,,左端面,5,7,7,7,7,,,,,,,,,,,,,,,,
,,6.0中心孔,6,64,64,64,64,,,,,,,,64,64,,64,64,,,,
,,6.3中心孔,7,12,12,12,12,,,,,,,,12,12,,12,12,,,,
,,28圆柱面,8,33,33,33,33,,,,,,,,,,135,,,,,,
,,18圆柱面,9,6,6,6,6,,,,,,,,,,14,,,,,,
,,成形面及左环面,10,,,,,,,,,,,,308,308,308,,,,,,
,,矩形外轮廓,11,,,,,,,,,,,,90,90,90,,,,,,
,,4.5通孔,12,,,,,,,,,,,,36,36,36,36,36,,,,
,,8沉孔,13,,,,,,,,,,,,12,12,12,,,,,,
,,小平面,14,,,,,8,,,,,,,8,8,8,,,,,,
,,5.5孔,15,,,,,8,,,,,,,8,8,8,8,8,,,,
,,3.1槽,16,,,,,,,,,,,,10,10,10,,,,,,
,,3孔,17,,,,,,,,,,,,6,6,6,6,6,,,,
,,方孔,18,,,,,,,,,,,,,,,,,,300,,
反力支撑柱,8,左端面,1,4,4,4,4,,,,,,,,,,,,,,,,
,,28圆柱面,2,110,110,110,110,,,,,,,,,,,,,,,,
,,右端面,3,8,8,8,8,,,,,,,,,,,,,,,,
,,17孔,4,,,,,,,,,,,,126,126,126,,,,,,
,,垂直平面,5,,,,,,,,,,,,16,16,16,,,,,,
,,斜平面,6,,,,,,,,,,,,19,19,19,,,,,,
,,6.1孔,7,,,,,,,,,,,,12,12,12,12,12,,,,
连接法兰,2,右端面,1,6,6,6,6,,,,,,,,,,,,,,,,
,,左端面,2,6,6,6,6,,,,,,,,,,,,,,,,
,,30沉孔,3,4,4,4,4,,,,,,,,36,36,36,,,,,,
