Nb of jobs 56 Nb of Machines 20
3383
Solutions
设备编号	零件编号	工序编号	开始时间	结束时间
1   	30  	1   	0   	39  
1   	19  	1   	39  	47  
1   	18  	1   	47  	55  
1   	27  	1   	55  	60  
1   	25  	1   	128 	133 
1   	56  	1   	133 	149 
1   	41  	1   	149 	154 
1   	38  	1   	154 	196 
1   	3   	1   	196 	208 
1   	7   	1   	208 	262 
1   	15  	1   	262 	266 
1   	17  	1   	366 	374 
1   	52  	1   	374 	380 
1   	37  	1   	425 	467 
1   	29  	1   	701 	740 
1   	44  	2   	60  	128 
1   	3   	2   	266 	326 
1   	40  	2   	380 	392 
1   	25  	2   	467 	701 
1   	23  	2   	1021	1031
1   	47  	2   	1031	1085
1   	22  	2   	1165	1175
1   	46  	2   	1234	1347
1   	48  	2   	1644	1698
1   	9   	2   	1811	1921
1   	32  	3   	327 	366 
1   	42  	3   	1091	1165
1   	46  	3   	1347	1355
1   	56  	3   	2071	2074
1   	40  	4   	740 	932 
1   	27  	4   	965 	1021
1   	24  	4   	1175	1215
1   	41  	4   	1355	1382
1   	26  	4   	1588	1644
1   	2   	4   	1698	1811
1   	35  	4   	1921	2071
1   	39  	4   	2189	2381
1   	1   	4   	2624	2737
1   	24  	5   	1215	1234
1   	43  	5   	2084	2189
1   	37  	5   	2381	2384
1   	22  	6   	2074	2084
1   	19  	8   	392 	425 
1   	18  	8   	932 	965 
1   	17  	9   	1085	1091
2   	20  	1   	0   	8   
2   	45  	1   	8   	16  
2   	13  	1   	16  	20  
2   	1   	1   	20  	26  
2   	44  	1   	26  	40  
2   	5   	1   	40  	44  
2   	28  	1   	219 	224 
2   	33  	1   	458 	461 
2   	22  	1   	699 	709 
2   	21  	1   	709 	719 
2   	35  	1   	762 	768 
2   	11  	1   	768 	772 
2   	26  	1   	1271	1276
2   	48  	1   	1588	1606
2   	10  	1   	2116	2120
2   	28  	2   	224 	458 
2   	27  	2   	461 	695 
2   	31  	2   	852 	931 
2   	45  	2   	931 	1044
2   	39  	2   	1145	1157
2   	55  	2   	1821	1839
2   	53  	2   	2240	2309
2   	20  	3   	55  	99  
2   	44  	3   	128 	175 
2   	19  	3   	175 	219 
2   	50  	3   	695 	699 
2   	27  	3   	733 	762 
2   	47  	3   	1085	1145
2   	41  	3   	1197	1271
2   	34  	3   	1324	1327
2   	14  	3   	1327	1335
2   	26  	3   	1559	1588
2   	36  	3   	1618	1663
2   	13  	3   	1813	1821
2   	16  	3   	1955	1963
2   	1   	3   	2312	2624
2   	18  	4   	719 	724 
2   	50  	4   	729 	733 
2   	23  	4   	1157	1197
2   	21  	4   	1284	1324
2   	49  	4   	1335	1339
2   	36  	4   	1663	1813
2   	22  	4   	1894	1934
2   	43  	4   	1979	1989
2   	3   	5   	724 	729 
2   	35  	5   	2071	2116
2   	38  	5   	2309	2312
2   	4   	6   	1839	1863
2   	36  	6   	1891	1894
2   	18  	7   	803 	815 
2   	27  	7   	1276	1284
2   	28  	7   	1606	1614
2   	17  	8   	1044	1077
2   	21  	8   	2120	2180
2   	23  	8   	2180	2240
2   	4   	11  	2624	2648
3   	32  	1   	0   	39  
3   	6   	1   	55  	59  
3   	46  	1   	258 	266 
3   	40  	1   	271 	277 
3   	34  	1   	453 	456 
3   	36  	1   	573 	579 
3   	23  	1   	687 	697 
3   	39  	1   	795 	801 
3   	4   	1   	801 	813 
3   	31  	1   	813 	852 
3   	49  	1   	971 	977 
3   	47  	1   	997 	1015
3   	9   	1   	1371	1375
3   	51  	1   	1955	1961
3   	20  	2   	39  	55  
3   	5   	2   	59  	138 
3   	8   	2   	192 	258 
3   	17  	2   	398 	414 
3   	12  	2   	463 	573 
3   	6   	2   	608 	687 
3   	29  	2   	881 	960 
3   	24  	2   	977 	987 
3   	7   	2   	1015	1081
3   	14  	2   	1091	1201
3   	49  	2   	1201	1207
3   	15  	2   	1227	1337
3   	11  	2   	1693	1803
3   	16  	2   	1845	1955
3   	54  	2   	1969	2038
3   	10  	2   	2120	2230
3   	3   	3   	326 	365 
3   	30  	3   	414 	453 
3   	28  	3   	579 	608 
3   	33  	3   	729 	732 
3   	25  	3   	852 	881 
3   	24  	3   	987 	997 
3   	22  	3   	1217	1227
3   	6   	3   	1375	1379
3   	35  	3   	1379	1424
3   	31  	3   	1654	1693
3   	38  	3   	1803	1818
3   	11  	3   	1961	1969
3   	9   	3   	2230	2238
3   	54  	3   	2244	2248
3   	53  	3   	2309	2313
3   	44  	4   	175 	185 
3   	19  	4   	266 	271 
3   	17  	4   	458 	463 
3   	28  	4   	739 	795 
3   	4   	4   	1337	1371
3   	37  	4   	2313	2319
3   	20  	5   	185 	192 
3   	19  	5   	277 	284 
3   	18  	5   	732 	739 
3   	27  	5   	1081	1091
3   	28  	5   	1207	1217
3   	26  	5   	1644	1654
3   	21  	5   	1818	1837
3   	41  	5   	1837	1845
3   	41  	6   	2238	2244
3   	22  	7   	2098	2119
3   	20  	8   	365 	398 
3   	24  	8   	2038	2098
3   	22  	8   	2248	2308
3   	18  	9   	965 	971 
3   	3   	10  	2884	2963
4   	12  	1   	0   	4   
4   	8   	1   	4   	58  
4   	2   	1   	142 	148 
4   	24  	1   	153 	163 
4   	50  	1   	242 	248 
4   	42  	1   	530 	535 
4   	14  	1   	541 	545 
4   	54  	1   	1284	1288
4   	55  	1   	1559	1575
4   	16  	1   	1575	1579
4   	43  	1   	1663	1677
4   	53  	1   	1717	1721
4   	19  	2   	58  	74  
4   	30  	2   	163 	242 
4   	32  	2   	248 	327 
4   	18  	2   	458 	474 
4   	50  	2   	535 	541 
4   	38  	2   	545 	551 
4   	33  	2   	558 	729 
4   	34  	2   	729 	900 
4   	37  	2   	908 	914 
4   	4   	2   	970 	1030
4   	13  	2   	1052	1162
4   	35  	2   	1211	1245
4   	21  	2   	1245	1255
4   	26  	2   	1325	1559
4   	36  	2   	1584	1618
4   	56  	2   	1721	1739
4   	43  	2   	1739	1807
4   	5   	3   	138 	142 
4   	17  	3   	414 	458 
4   	40  	3   	474 	486 
4   	18  	3   	486 	530 
4   	12  	3   	900 	908 
4   	23  	3   	1031	1041
4   	45  	3   	1044	1052
4   	4   	3   	1162	1201
4   	49  	3   	1207	1211
4   	21  	3   	1274	1284
4   	15  	3   	1677	1685
4   	39  	3   	1695	1707
4   	29  	3   	1807	1846
4   	55  	3   	1911	1914
4   	43  	3   	1932	1979
4   	37  	3   	1979	1994
4   	10  	3   	2230	2238
4   	20  	4   	148 	153 
4   	3   	4   	365 	399 
4   	25  	4   	914 	970 
4   	42  	4   	1298	1325
4   	38  	4   	2034	2040
4   	17  	5   	551 	558 
4   	23  	5   	1255	1274
4   	4   	5   	1579	1584
4   	25  	5   	1685	1695
4   	36  	5   	1846	1891
4   	22  	5   	1994	2013
4   	42  	5   	2069	2077
4   	24  	6   	1288	1298
4   	3   	6   	1639	1663
4   	23  	6   	1707	1717
4   	21  	6   	1901	1911
4   	35  	6   	2116	2119
4   	42  	6   	2238	2244
4   	24  	7   	1618	1639
4   	4   	7   	1891	1901
4   	25  	7   	1914	1922
4   	3   	7   	1922	1932
4   	23  	7   	2013	2034
4   	26  	7   	2040	2048
4   	21  	7   	2048	2069
4   	4   	10  	2244	2323
4   	3   	11  	2963	2987
5   	2   	3   	211 	523 
5   	48  	3   	1698	1950
5   	27  	6   	1091	1169
5   	28  	6   	1217	1295
5   	24  	9   	2098	2210
5   	23  	9   	2255	2367
5   	21  	9   	2367	2479
5   	22  	9   	2479	2591
5   	24  	10  	2210	2255
5   	23  	10  	2591	2636
5   	22  	10  	2636	2681
5   	21  	10  	2681	2726
5   	19  	14  	1005	1013
5   	20  	14  	1035	1043
5   	18  	14  	1987	1995
5   	20  	15  	1295	1303
8   	53  	5   	2785	2884
8   	54  	5   	2968	3067
8   	33  	7   	1909	2049
8   	41  	7   	2609	2645
8   	34  	7   	2645	2785
8   	55  	7   	2894	2926
8   	56  	7   	2936	2968
8   	42  	7   	3067	3103
8   	27  	9   	1629	1909
8   	25  	9   	2049	2329
8   	28  	9   	2329	2609
8   	26  	9   	3103	3383
8   	36  	10  	2884	2894
8   	35  	10  	2926	2936
12  	1   	2   	290 	353 
12  	41  	2   	665 	688 
12  	51  	2   	2086	2098
12  	52  	2   	2538	2550
12  	8   	3   	353 	485 
12  	51  	3   	2155	2212
12  	30  	4   	485 	665 
12  	8   	4   	844 	897 
12  	33  	4   	987 	993 
12  	12  	4   	1083	1209
12  	32  	4   	1232	1412
12  	7   	4   	1641	1694
12  	48  	4   	1952	1982
12  	55  	4   	2080	2086
12  	16  	4   	2212	2338
12  	56  	4   	2354	2360
12  	13  	4   	2587	2713
12  	54  	4   	2819	2836
12  	44  	5   	185 	290 
12  	40  	5   	1035	1083
12  	45  	5   	1412	1502
12  	33  	5   	1562	1568
12  	46  	5   	1694	1784
12  	7   	5   	1792	1882
12  	34  	5   	1920	1926
12  	14  	5   	1936	1952
12  	15  	5   	2129	2145
12  	16  	5   	2338	2354
12  	13  	5   	2713	2729
12  	31  	5   	2729	2819
12  	10  	5   	2836	2852
12  	50  	6   	1502	1540
12  	45  	6   	1540	1552
12  	49  	6   	1568	1606
12  	46  	6   	2098	2110
12  	14  	6   	2110	2129
12  	43  	6   	2360	2504
12  	55  	6   	2550	2587
12  	47  	6   	2867	2903
12  	44  	7   	688 	844 
12  	30  	7   	1209	1232
12  	49  	7   	1882	1920
12  	36  	7   	2005	2080
12  	7   	7   	2504	2538
12  	47  	7   	2903	3353
12  	27  	8   	1606	1629
12  	28  	8   	1982	2005
12  	48  	8   	3353	3380
12  	49  	9   	2852	2867
12  	20  	11  	897 	987 
12  	19  	13  	993 	1005
12  	20  	13  	1023	1035
12  	17  	13  	1629	1641
12  	17  	14  	1784	1792
12  	19  	16  	1552	1562
12  	17  	16  	1926	1936
12  	18  	16  	2145	2155
13  	2   	2   	148 	211 
13  	15  	4   	1896	2022
13  	47  	4   	2022	2052
13  	9   	4   	2268	2394
13  	29  	4   	2394	2574
13  	5   	5   	211 	379 
13  	8   	5   	1014	1104
13  	32  	5   	1628	1718
13  	6   	5   	1718	1886
13  	47  	5   	2052	2082
13  	33  	6   	1592	1628
13  	34  	6   	2232	2268
13  	13  	6   	3226	3245
13  	35  	7   	2157	2232
13  	43  	7   	2574	2730
13  	48  	7   	2730	3180
13  	31  	7   	3180	3203
13  	29  	7   	3203	3226
13  	10  	7   	3245	3257
13  	44  	8   	846 	1014
13  	36  	8   	2082	2157
13  	43  	9   	3262	3358
13  	19  	10  	448 	756 
13  	17  	10  	1104	1412
13  	19  	11  	756 	846 
13  	18  	11  	1412	1502
13  	17  	11  	1502	1592
13  	20  	16  	1886	1896
14  	42  	2   	860 	883 
14  	7   	3   	1408	1540
14  	52  	3   	2910	2967
14  	34  	4   	1540	1546
14  	14  	4   	1546	1672
14  	31  	4   	1710	1890
14  	11  	4   	2204	2330
14  	53  	4   	2459	2476
14  	10  	4   	2574	2700
14  	30  	5   	770 	860 
14  	48  	5   	2377	2407
14  	9   	5   	2443	2459
14  	11  	5   	2700	2716
14  	29  	5   	2735	2825
14  	39  	5   	2825	2873
14  	12  	5   	2967	2983
14  	44  	6   	290 	434 
14  	5   	6   	883 	1100
14  	6   	6   	1987	2204
14  	15  	6   	2330	2349
14  	48  	6   	2407	2443
14  	11  	6   	2716	2735
14  	56  	6   	2873	2910
14  	10  	6   	2983	3002
14  	16  	6   	3002	3021
14  	12  	6   	3021	3040
14  	9   	6   	3063	3082
14  	50  	7   	1672	1710
14  	8   	7   	1918	1952
14  	32  	7   	3040	3063
14  	11  	7   	3082	3094
